id,label,importance,triviality,loc,complexity,num_funcs,num_params,num_calls,num_returns,num_assigns,num_imports,doc_len,keyword_matches,one_liner,has_type_annotations,dist_med,human_label
code:fastapi/routing.py:APIRouter:670,APIRouter,0.739,0.261,3374,39.0,22,1,311,17,32,0,527,277,0,1,,utility
code:fastapi/applications.py:FastAPI:50,FastAPI,0.677,0.323,3972,23.0,26,1,332,24,39,0,468,331,0,1,,utility
code:fastapi/routing.py:get_request_handler:292,get_request_handler,0.4962,0.5038,136,23.0,1,13,29,1,29,0,0,30,0,1,,utility
code:fastapi/openapi/utils.py:get_openapi_path:252,get_openapi_path,0.4949,0.5051,189,33.0,1,0,57,0,39,0,0,49,0,1,,utility
code:fastapi/openapi/utils.py:get_openapi:475,get_openapi,0.4635,0.5365,95,28.0,1,0,22,0,20,0,0,36,0,1,,utility
code:fastapi/routing.py:APIRoute:503,APIRoute,0.4382,0.5618,161,19.0,3,3,37,1,51,0,0,34,0,1,,utility
code:fastapi/routing.py:app:315,app,0.4357,0.5643,113,21.0,0,0,25,0,26,0,0,26,0,1,,utility
code:fastapi/routing.py:__init__:504,__init__,0.4323,0.5677,140,18.0,1,3,32,0,48,0,0,31,0,1,,utility
code:fastapi/applications.py:__init__:66,__init__,0.4138,0.5862,768,8.0,1,1,54,0,21,0,0,61,0,1,,utility
code:fastapi/openapi/utils.py:_get_openapi_operation_parameters:93,_get_openapi_operation_parameters,0.3978,0.6022,71,13.0,1,0,18,0,22,0,0,13,0,1,,utility
code:fastapi/param_functions.py:Security:2279,Security,0.3922,0.6078,66,1.0,1,1,3,0,0,0,928,5,0,1,,utility
code:fastapi/security/oauth2.py:OAuth2AuthorizationCodeBearer:502,OAuth2AuthorizationCodeBearer,0.3907,0.6093,100,5.0,1,8,14,1,4,0,0,11,0,1,,utility
code:fastapi/applications.py:setup:1076,setup,0.3905,0.6095,42,11.0,1,1,17,4,9,0,0,10,0,1,,utility
code:fastapi/utils.py:create_cloned_field:108,create_cloned_field,0.3879,0.6121,52,10.0,1,1,12,1,27,0,0,6,0,1,,utility
code:fastapi/security/oauth2.py:OAuth2PasswordBearer:390,OAuth2PasswordBearer,0.3875,0.6125,101,5.0,1,7,14,1,4,0,0,10,0,1,,utility
code:fastapi/security/http.py:HTTPBasic:96,HTTPBasic,0.3867,0.6133,102,9.0,1,1,13,1,11,0,0,7,0,1,,utility
code:fastapi/openapi/docs.py:get_swagger_ui_html:25,get_swagger_ui_html,0.3863,0.6137,120,5.0,1,0,16,0,7,0,519,17,0,1,,utility
code:fastapi/params.py:__init__:27,__init__,0.3827,0.6173,104,9.0,1,2,8,0,11,0,0,19,0,1,,utility
code:fastapi/params.py:__init__:479,__init__,0.382,0.618,109,9.0,1,2,8,0,13,0,0,21,0,1,,utility
code:fastapi/routing.py:add_api_route:956,add_api_route,0.3811,0.6189,80,8.0,1,3,12,0,9,0,0,17,0,1,,utility
code:fastapi/routing.py:__init__:697,__init__,0.3799,0.6201,213,6.0,1,1,25,0,9,0,0,12,0,1,,utility
code:fastapi/security/http.py:HTTPDigest:323,HTTPDigest,0.3798,0.6202,82,8.0,1,1,9,2,5,0,0,6,0,1,,utility
code:fastapi/routing.py:websocket:1121,websocket,0.3793,0.6207,55,1.0,2,3,4,1,0,0,527,2,0,1,,utility
code:fastapi/applications.py:exception_handler:4621,exception_handler,0.3789,0.6211,34,1.0,2,2,2,1,0,0,643,3,0,1,,utility
code:fastapi/applications.py:middleware:4575,middleware,0.3789,0.6211,35,1.0,2,2,2,1,0,0,630,2,0,1,,utility
code:fastapi/security/http.py:HTTPBearer:219,HTTPBearer,0.3789,0.6211,84,8.0,1,1,10,2,5,0,0,8,0,1,,utility
code:fastapi/openapi/utils.py:get_fields_from_routes:444,get_fields_from_routes,0.3766,0.6234,27,8.0,1,1,12,0,2,0,0,4,0,1,,utility
code:fastapi/applications.py:websocket:1268,websocket,0.3753,0.6247,55,1.0,2,3,4,1,0,0,452,2,0,1,,utility
code:fastapi/param_functions.py:Depends:2219,Depends,0.3749,0.6251,44,1.0,1,1,2,0,0,0,622,3,0,1,,utility
code:fastapi/security/http.py:__call__:186,__call__,0.3737,0.6263,30,8.0,0,0,8,1,7,0,0,2,0,1,,utility
code:fastapi/applications.py:openapi:1043,openapi,0.3707,0.6293,28,2.0,1,1,1,0,1,0,468,2,0,1,,utility
code:fastapi/routing.py:_prepare_response_content:153,_prepare_response_content,0.3686,0.6314,45,6.0,1,1,12,5,1,0,0,3,0,1,,utility
code:fastapi/routing.py:APIWebSocketRoute:463,APIWebSocketRoute,0.3679,0.6321,36,5.0,2,3,12,0,11,0,0,7,0,1,,utility
code:fastapi/security/http.py:__call__:300,__call__,0.3672,0.6328,20,7.0,0,0,5,2,2,0,0,2,0,1,,utility
code:fastapi/security/http.py:__call__:402,__call__,0.3672,0.6328,20,7.0,0,0,5,2,2,0,0,2,0,1,,utility
code:fastapi/openapi/docs.py:get_redoc_html:160,get_redoc_html,0.3667,0.6333,88,2.0,1,0,5,0,3,0,411,7,0,1,,utility
code:fastapi/security/http.py:HTTPBase:68,HTTPBase,0.3643,0.6357,24,6.0,1,1,4,1,5,0,0,5,0,1,,utility
code:fastapi/routing.py:_merge_lifespan_context:201,_merge_lifespan_context,0.3642,0.6358,13,5.0,1,2,2,0,0,0,0,1,0,1,,core
code:fastapi/openapi/utils.py:get_openapi_operation_metadata:226,get_openapi_operation_metadata,0.3638,0.6362,23,7.0,1,0,5,0,9,0,0,8,0,1,,utility
code:fastapi/utils.py:get_value_or_default:205,get_value_or_default,0.3605,0.6395,13,3.0,1,1,1,1,1,0,197,1,0,1,,utility
code:fastapi/routing.py:on_event:4482,on_event,0.3581,0.6419,27,1.0,2,2,3,1,0,0,242,1,0,1,,core
code:fastapi/applications.py:on_event:4546,on_event,0.3579,0.6421,24,1.0,1,2,2,0,0,0,247,1,0,1,,core
code:fastapi/routing.py:request_response:88,request_response,0.3578,0.6422,33,3.0,1,1,9,0,5,0,91,1,0,1,,core
code:fastapi/security/oauth2.py:OAuth2:307,OAuth2,0.3577,0.6423,71,4.0,1,1,9,1,4,0,0,7,0,1,,utility
code:fastapi/security/open_id_connect_url.py:OpenIdConnect:10,OpenIdConnect,0.3576,0.6424,66,4.0,1,1,7,1,4,0,0,6,0,1,,utility
code:fastapi/applications.py:build_middleware_stack:995,build_middleware_stack,0.3572,0.6428,43,4.0,1,1,6,0,7,0,0,3,0,1,,utility
code:fastapi/routing.py:add_api_websocket_route:1100,add_api_websocket_route,0.3565,0.6435,18,2.0,1,4,3,0,2,0,0,2,0,1,,utility
code:fastapi/security/http.py:__call__:81,__call__,0.3559,0.6441,12,5.0,0,0,3,1,2,0,0,2,0,1,,utility
code:fastapi/openapi/utils.py:get_openapi_operation_request_body:168,get_openapi_operation_request_body,0.3546,0.6454,34,5.0,1,0,5,1,8,0,0,8,0,1,,utility
code:fastapi/routing.py:route:937,route,0.3541,0.6459,16,1.0,2,5,1,1,0,0,0,3,0,1,,utility
code:fastapi/openapi/models.py:Info:79,Info,0.3333,0.6667,7,1.0,0,0,0,0,0,0,0,4,0,1,0.0,utility
code:fastapi/exceptions.py:WebSocketException:67,WebSocketException,0.3333,0.6667,58,0.0,0,0,0,0,0,0,0,3,0,1,0.0,utility
code:fastapi/routing.py:serialize_response:218,serialize_response,0.3331,0.6669,56,0.0,0,0,0,0,0,0,0,3,0,1,0.0001999999999999,utility
code:fastapi/utils.py:generate_operation_id_for_path:164,generate_operation_id_for_path,0.3336,0.6664,12,1.0,1,0,3,0,3,0,0,5,0,1,0.0003,utility
code:fastapi/openapi/models.py:Response:297,Response,0.3337,0.6663,4,1.0,0,0,0,0,0,0,0,3,0,1,0.0004,utility
code:fastapi/security/oauth2.py:__init__:399,__init__,0.3329,0.6671,81,0.0,0,0,0,0,0,0,0,7,0,1,0.0004,utility
code:fastapi/param_functions.py:Body:1262,Body,0.3338,0.6662,317,0.0,0,0,0,0,0,0,0,40,0,1,0.0005,utility
code:fastapi/openapi/models.py:XML:110,XML,0.3338,0.6662,5,1.0,0,0,0,0,0,0,0,3,0,1,0.0005,utility
code:fastapi/openapi/models.py:Encoding:243,Encoding,0.3338,0.6662,5,1.0,0,0,0,0,0,0,0,3,0,1,0.0005,utility
code:fastapi/routing.py:decorator:1068,decorator,0.3326,0.6674,29,0.0,0,0,0,0,0,0,0,0,0,1,0.0006999999999999,core
code:fastapi/openapi/models.py:PathItem:320,PathItem,0.334,0.666,13,1.0,0,0,1,0,0,0,0,4,0,1,0.0007,utility
code:fastapi/applications.py:decorator:1222,decorator,0.3325,0.6675,28,0.0,0,0,0,0,0,0,0,0,0,1,0.0007999999999999,core
code:fastapi/security/oauth2.py:__init__:508,__init__,0.3324,0.6676,82,0.0,0,0,0,0,0,0,0,8,0,1,0.0009,utility
code:fastapi/param_functions.py:Cookie:958,Cookie,0.3342,0.6658,294,0.0,0,0,0,0,0,0,0,36,0,1,0.0009,utility
code:fastapi/param_functions.py:Query:338,Query,0.3342,0.6658,294,0.0,0,0,0,0,0,0,0,36,0,1,0.0009,utility
code:fastapi/param_functions.py:Path:10,Path,0.3344,0.6656,311,0.0,0,0,0,0,0,0,0,38,0,1,0.0010999999999999,utility
code:fastapi/param_functions.py:Form:1591,Form,0.3344,0.6656,304,0.0,0,0,0,0,0,0,0,37,0,1,0.0010999999999999,utility
code:fastapi/param_functions.py:File:1905,File,0.3344,0.6656,304,0.0,0,0,0,0,0,0,0,37,0,1,0.0010999999999999,utility
code:fastapi/openapi/models.py:ParameterBase:258,ParameterBase,0.3345,0.6655,12,1.0,0,0,1,0,0,0,0,3,0,1,0.0012,utility
code:fastapi/utils.py:create_model_field:62,create_model_field,0.332,0.668,43,0.0,0,0,0,0,0,0,0,3,0,1,0.0012999999999999,utility
code:fastapi/openapi/models.py:Link:288,Link,0.332,0.668,6,1.0,0,0,0,0,0,0,0,6,0,1,0.0012999999999999,utility
code:fastapi/openapi/models.py:OpenAPI:434,OpenAPI,0.3319,0.6681,11,1.0,0,0,0,0,0,0,0,7,0,1,0.0014,utility
code:fastapi/openapi/models.py:MediaType:251,MediaType,0.335,0.665,4,1.0,0,0,1,0,0,0,0,1,0,1,0.0017,
code:fastapi/routing.py:app:102,app,0.3315,0.6685,17,0.0,0,0,0,0,0,0,0,0,0,1,0.0017999999999999,core
code:fastapi/exceptions.py:__init__:109,__init__,0.3315,0.6685,24,0.0,0,0,0,0,0,0,0,1,0,1,0.0017999999999999,core
code:fastapi/param_functions.py:Header:642,Header,0.3351,0.6649,305,0.0,0,0,0,0,0,0,0,36,0,1,0.0018,utility
code:fastapi/security/http.py:HTTPAuthorizationCredentials:28,HTTPAuthorizationCredentials,0.3314,0.6686,30,0.0,0,0,0,0,0,0,0,2,0,1,0.0019,utility
code:fastapi/utils.py:deep_dict_update:187,deep_dict_update,0.3313,0.6687,15,0.0,0,0,0,0,0,0,0,0,0,1,0.002,utility
code:fastapi/security/http.py:HTTPBasicCredentials:15,HTTPBasicCredentials,0.3354,0.6646,8,1.0,0,0,1,0,0,0,0,1,0,1,0.0020999999999999,
code:fastapi/exceptions.py:HTTPException:8,HTTPException,0.3311,0.6689,47,0.0,0,0,0,0,0,0,0,5,0,1,0.0021999999999999,utility
code:fastapi/openapi/models.py:ParameterInType:236,ParameterInType,0.3355,0.6645,4,1.0,0,0,0,0,3,0,0,0,0,1,0.0022,
code:fastapi/openapi/models.py:SecuritySchemeType:336,SecuritySchemeType,0.3355,0.6645,4,1.0,0,0,0,0,3,0,0,0,0,1,0.0022,
code:fastapi/params.py:ParamTypes:17,ParamTypes,0.3355,0.6645,4,1.0,0,0,0,0,3,0,0,0,0,1,0.0022,
code:fastapi/openapi/models.py:OAuthFlows:392,OAuthFlows,0.3355,0.6645,4,1.0,0,0,0,0,0,0,0,0,0,1,0.0022,
code:fastapi/routing.py:app:441,app,0.331,0.669,18,0.0,0,0,0,0,0,0,0,1,0,1,0.0022999999999999,core
code:fastapi/openapi/models.py:OpenIdConnect:404,OpenIdConnect,0.3356,0.6644,4,1.0,0,0,1,0,0,0,0,0,0,1,0.0023,
code:fastapi/routing.py:app:140,app,0.3357,0.6643,5,1.0,0,0,1,0,1,0,0,0,0,1,0.0024,core
code:fastapi/openapi/models.py:APIKey:354,APIKey,0.3357,0.6643,3,1.0,0,0,2,0,0,0,0,0,1,1,0.0024,utility
code:fastapi/routing.py:decorator:944,decorator,0.3308,0.6692,9,0.0,0,0,0,0,0,0,0,0,0,1,0.0025,core
code:fastapi/openapi/models.py:Operation:304,Operation,0.3308,0.6692,13,1.0,0,0,0,0,0,0,0,9,0,1,0.0025,utility
code:fastapi/security/oauth2.py:SecurityScopes:612,SecurityScopes,0.3308,0.6692,37,0.0,0,0,0,0,0,0,0,4,0,1,0.0025,utility
code:fastapi/exceptions.py:__init__:36,__init__,0.3307,0.6693,28,0.0,0,0,0,0,0,0,0,3,0,1,0.0025999999999999,utility
code:fastapi/exceptions.py:ValidationException:148,ValidationException,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1,0.0028999999999999,
code:fastapi/openapi/models.py:BaseModelWithConfig:57,BaseModelWithConfig,0.3304,0.6696,5,0.0,0,0,0,0,0,0,0,0,0,1,0.0028999999999999,core
code:fastapi/openapi/models.py:__get_pydantic_core_schema__:50,__get_pydantic_core_schema__,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1,0.0028999999999999,core
code:fastapi/responses.py:render:43,render,0.3304,0.6696,4,0.0,0,0,0,0,0,0,0,0,0,1,0.0028999999999999,
code:fastapi/routing.py:merged_lifespan:204,merged_lifespan,0.3303,0.6697,10,0.0,0,0,0,0,0,0,0,1,0,1,0.003,core
code:fastapi/encoders.py:jsonable_encoder:101,jsonable_encoder,0.3303,0.6697,236,0.0,0,0,0,0,0,0,0,34,0,1,0.003,utility
code:fastapi/encoders.py:decimal_encoder:36,decimal_encoder,0.3302,0.6698,16,0.0,0,0,0,0,0,0,0,2,0,1,0.0030999999999999,utility
code:fastapi/routing.py:app:137,app,0.3364,0.6636,9,1.0,0,0,3,0,2,0,0,0,0,1,0.0030999999999999,core
code:fastapi/utils.py:get_path_param_names:58,get_path_param_names,0.2077,0.7923,1,0.0,0,0,0,0,0,0,0,4,1,1,,utility
code:fastapi/exceptions.py:FastAPIError:142,FastAPIError,0.1303,0.8697,3,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:OAuthFlowClientCredentials:383,OAuthFlowClientCredentials,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:Reference:101,Reference,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:OAuthFlowPassword:379,OAuthFlowPassword,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:OAuthFlowImplicit:375,OAuthFlowImplicit,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:Header:278,Header,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:Config:232,Config,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/exceptions.py:WebSocketRequestValidationError:162,WebSocketRequestValidationError,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
code:fastapi/openapi/models.py:Config:63,Config,0.1301,0.8699,1,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/responses.py,responses.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/staticfiles.py,staticfiles.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/__init__.py,__init__.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/api_key.py,api_key.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/base.py,base.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/http.py,http.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/oauth2.py,oauth2.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/open_id_connect_url.py,open_id_connect_url.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/security/utils.py,utils.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/testclient.py,testclient.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/templating.py,templating.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/types.py,types.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/utils.py,utils.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/websockets.py,websockets.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
folder:fastapi,fastapi,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
folder:fastapi/middleware,middleware,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
folder:fastapi/openapi,openapi,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
folder:fastapi/security,security,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/routing.py,routing.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/__init__.py,__init__.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/requests.py,requests.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/params.py,params.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/applications.py,applications.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/encoders.py,encoders.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/exception_handlers.py,exception_handlers.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/exceptions.py,exceptions.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/logger.py,logger.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/asyncexitstack.py,asyncexitstack.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/cors.py,cors.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/gzip.py,gzip.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/httpsredirect.py,httpsredirect.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/trustedhost.py,trustedhost.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/middleware/wsgi.py,wsgi.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/openapi/__init__.py,__init__.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/openapi/constants.py,constants.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/openapi/docs.py,docs.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/openapi/models.py,models.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/openapi/utils.py,utils.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
file:fastapi/param_functions.py,param_functions.py,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
workspace:root,fastapi,0.13,0.87,0,0.0,0,0,0,0,0,0,0,0,1,0,,utility
